"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.04.2025","3,837","4,119","4,153","3,811","246,55K","-7,27%"
"07.04.2025","3,655","3,811","3,939","3,600","298,84K","-4,74%"
"08.04.2025","3,465","3,630","3,783","3,462","278,15K","-5,20%"
"09.04.2025","3,816","3,481","3,829","3,336","359,06K","10,13%"
"10.04.2025","3,557","3,747","3,751","3,466","260,68K","-6,79%"
"11.04.2025","3,527","3,520","3,576","3,394","181,63K","-0,84%"
"14.04.2025","3,325","3,500","3,613","3,312","160,23K","-5,73%"
"15.04.2025","3,329","3,345","3,378","3,216","143,59K","0,12%"
"16.04.2025","3,247","3,318","3,318","3,204","150,41K","-2,46%"
"17.04.2025","3,245","3,262","3,334","3,191","145,61K","-0,06%"
"21.04.2025","3,177","3,367","3,391","3,155","117,68K","-2,10%"
"22.04.2025","3,007","3,051","3,095","2,955","133,98K","-5,35%"
"23.04.2025","3,022","3,046","3,074","2,967","86,14K","0,50%"
"24.04.2025","2,930","3,011","3,016","2,858","66,98K","-3,04%"
"25.04.2025","2,937","2,939","2,983","2,868","58,82K","0,24%"
"28.04.2025","3,170","2,884","3,187","2,859","2,17K","7,93%"
"29.04.2025","3,386","3,320","3,457","3,307","156,57K","6,81%"
"30.04.2025","3,326","3,380","3,399","3,260","145,96K","-1,77%"
"01.05.2025","3,479","3,353","3,540","3,340","159,64K","4,60%"
"02.05.2025","3,630","3,446","3,673","3,418","140,95K","4,34%"
"05.05.2025","3,550","3,671","3,747","3,531","161,32K","-2,20%"
"06.05.2025","3,463","3,568","3,648","3,423","200,86K","-2,45%"
"07.05.2025","3,621","3,487","3,656","3,487","162,37K","4,56%"
"08.05.2025","3,592","3,632","3,723","3,527","158,75K","-0,80%"
"09.05.2025","3,795","3,621","3,815","3,613","174,97K","5,65%"
"12.05.2025","3,646","3,775","3,840","3,608","163,73K","-3,93%"
"13.05.2025","3,647","3,677","3,728","3,570","130,02K","0,03%"
"14.05.2025","3,492","3,622","3,635","3,454","119,95K","-4,25%"
"15.05.2025","3,362","3,467","3,499","3,335","152,65K","-3,72%"
"16.05.2025","3,334","3,372","3,449","3,305","141,33K","-0,83%"
"19.05.2025","3,452","3,640","3,640","3,436","150,36K","3,54%"
"20.05.2025","3,767","3,445","3,795","3,444","195,65K","9,13%"
"21.05.2025","3,737","3,759","3,840","3,678","118,67K","-0,80%"
"22.05.2025","3,253","3,356","3,381","3,238","91,99K","-12,95%"
"23.05.2025","3,334","3,283","3,350","3,217","60,60K","2,49%"
"25.05.2025","3,752","3,786","3,803","3,745","","12,54%"
"26.05.2025","3,667","3,672","3,758","3,643","17,95K","-2,27%"
"27.05.2025","3,398","3,376","3,445","3,214","55,90K","-7,34%"
"28.05.2025","3,204","3,405","3,511","3,152","2,54K","-5,71%"
"29.05.2025","3,522","3,535","3,576","3,437","180,66K","9,93%"
"30.05.2025","3,447","3,535","3,564","3,440","131,55K","-2,13%"
"02.06.2025","3,694","3,501","3,750","3,501","199,98K","7,17%"
